Sample Name	Mate 1 FASTQ	Mate 2 FASTQ	Ploidy
D0-1	HM-D0-1_R1_001.fastq	HM-D0-1_R2_001.fastq	2
D0-10	HM-D0-10_R1_001.fastq	HM-D0-10_R2_001.fastq	2
D0-11	HM-D0-11_R1_001.fastq	HM-D0-11_R2_001.fastq	2
D0-12	HM-D0-12_R1_001.fastq	HM-D0-12_R2_001.fastq	2
D0-13	HM-D0-13_R1_001.fastq	HM-D0-13_R2_001.fastq	2
D0-14	HM-D0-14_R1_001.fastq	HM-D0-14_R2_001.fastq	2
D0-15	HM-D0-15_R1_001.fastq	HM-D0-15_R2_001.fastq	2
D0-16	HM-D0-16_R1_001.fastq	HM-D0-16_R2_001.fastq	2
D0-17	HM-D0-17_R1_001.fastq	HM-D0-17_R2_001.fastq	2
D0-18	HM-D0-18_R1_001.fastq	HM-D0-18_R2_001.fastq	2
D0-19	HM-D0-19_R1_001.fastq	HM-D0-19_R2_001.fastq	2
D0-2	HM-D0-2_R1_001.fastq	HM-D0-2_R2_001.fastq	2
D0-20	HM-D0-20_R1_001.fastq	HM-D0-20_R2_001.fastq	2
D0-21	HM-D0-21_R1_001.fastq	HM-D0-21_R2_001.fastq	2
D0-22	HM-D0-22_R1_001.fastq	HM-D0-22_R2_001.fastq	2
D0-23	HM-D0-23_R1_001.fastq	HM-D0-23_R2_001.fastq	2
D0-24	HM-D0-24_R1_001.fastq	HM-D0-24_R2_001.fastq	2
D0-25	HM-D0-25_R1_001.fastq	HM-D0-25_R2_001.fastq	2
D0-26	HM-D0-26_R1_001.fastq	HM-D0-26_R2_001.fastq	2
D0-27	HM-D0-27_R1_001.fastq	HM-D0-27_R2_001.fastq	2
D0-3	HM-D0-3_R1_001.fastq	HM-D0-3_R2_001.fastq	2
D0-30	HM-D0-30_R1_001.fastq	HM-D0-30_R2_001.fastq	2
D0-31	HM-D0-31_R1_001.fastq	HM-D0-31_R2_001.fastq	2
D0-32	HM-D0-32_R1_001.fastq	HM-D0-32_R2_001.fastq	2
D0-33	HM-D0-33_R1_001.fastq	HM-D0-33_R2_001.fastq	2
D0-34	HM-D0-34_R1_001.fastq	HM-D0-34_R2_001.fastq	2
D0-35	HM-D0-35_R1_001.fastq	HM-D0-35_R2_001.fastq	2
D0-36	HM-D0-36_R1_001.fastq	HM-D0-36_R2_001.fastq	2
D0-37	HM-D0-37_R1_001.fastq	HM-D0-37_R2_001.fastq	2
D0-38	HM-D0-38_R1_001.fastq	HM-D0-38_R2_001.fastq	2
D0-39	HM-D0-39_R1_001.fastq	HM-D0-39_R2_001.fastq	2
D0-4	HM-D0-4_R1_001.fastq	HM-D0-4_R2_001.fastq	2
D0-40	HM-D0-40_R1_001.fastq	HM-D0-40_R2_001.fastq	2
D0-42	HM-D0-42_R1_001.fastq	HM-D0-42_R2_001.fastq	2
D0-43	HM-D0-43_R1_001.fastq	HM-D0-43_R2_001.fastq	2
D0-44	HM-D0-44_R1_001.fastq	HM-D0-44_R2_001.fastq	2
D0-46	HM-D0-46_R1_001.fastq	HM-D0-46_R2_001.fastq	2
D0-47	HM-D0-47_R1_001.fastq	HM-D0-47_R2_001.fastq	2
D0-48	HM-D0-48_R1_001.fastq	HM-D0-48_R2_001.fastq	2
D0-5	HM-D0-5_R1_001.fastq	HM-D0-5_R2_001.fastq	2
D0-6	HM-D0-6_R1_001.fastq	HM-D0-6_R2_001.fastq	2
D0-7	HM-D0-7_R1_001.fastq	HM-D0-7_R2_001.fastq	2
D0-9	HM-D0-9_R1_001.fastq	HM-D0-9_R2_001.fastq	2
D0-A	HM-D0-A_R1_001.fastq	HM-D0-A_R2_001.fastq	2
D1-10	HM-D1-10_R1_001.fastq	HM-D1-10_R2_001.fastq	2
D1-11	HM-D1-11_R1_001.fastq	HM-D1-11_R2_001.fastq	2
D1-12	HM-D1-12_R1_001.fastq	HM-D1-12_R2_001.fastq	2
D1-13	HM-D1-13_R1_001.fastq	HM-D1-13_R2_001.fastq	2
D1-14	HM-D1-14_R1_001.fastq	HM-D1-14_R2_001.fastq	2
D1-15	HM-D1-15_R1_001.fastq	HM-D1-15_R2_001.fastq	2
D1-16	HM-D1-16_R1_001.fastq	HM-D1-16_R2_001.fastq	2
D1-17	HM-D1-17_R1_001.fastq	HM-D1-17_R2_001.fastq	2
D1-18	HM-D1-18_R1_001.fastq	HM-D1-18_R2_001.fastq	2
D1-19	HM-D1-19_R1_001.fastq	HM-D1-19_R2_001.fastq	2
D1-2	HM-D1-2_R1_001.fastq	HM-D1-2_R2_001.fastq	2
D1-20	HM-D1-20_R1_001.fastq	HM-D1-20_R2_001.fastq	2
D1-21	HM-D1-21_R1_001.fastq	HM-D1-21_R2_001.fastq	2
D1-22	HM-D1-22_R1_001.fastq	HM-D1-22_R2_001.fastq	2
D1-24	HM-D1-24_R1_001.fastq	HM-D1-24_R2_001.fastq	2
D1-25	HM-D1-25_R1_001.fastq	HM-D1-25_R2_001.fastq	2
D1-26	HM-D1-26_R1_001.fastq	HM-D1-26_R2_001.fastq	2
D1-27	HM-D1-27_R1_001.fastq	HM-D1-27_R2_001.fastq	2
D1-28	HM-D1-28_R1_001.fastq	HM-D1-28_R2_001.fastq	2
D1-29	HM-D1-29_R1_001.fastq	HM-D1-29_R2_001.fastq	2
D1-3	HM-D1-3_R1_001.fastq	HM-D1-3_R2_001.fastq	2
D1-30	HM-D1-30_R1_001.fastq	HM-D1-30_R2_001.fastq	2
D1-31	HM-D1-31_R1_001.fastq	HM-D1-31_R2_001.fastq	2
D1-32	HM-D1-32_R1_001.fastq	HM-D1-32_R2_001.fastq	2
D1-33	HM-D1-33_R1_001.fastq	HM-D1-33_R2_001.fastq	2
D1-35	HM-D1-35_R1_001.fastq	HM-D1-35_R2_001.fastq	2
D1-36	HM-D1-36_R1_001.fastq	HM-D1-36_R2_001.fastq	2
D1-37	HM-D1-37_R1_001.fastq	HM-D1-37_R2_001.fastq	2
D1-38	HM-D1-38_R1_001.fastq	HM-D1-38_R2_001.fastq	2
D1-39	HM-D1-39_R1_001.fastq	HM-D1-39_R2_001.fastq	2
D1-4	HM-D1-4_R1_001.fastq	HM-D1-4_R2_001.fastq	2
D1-40	HM-D1-40_R1_001.fastq	HM-D1-40_R2_001.fastq	2
D1-41	HM-D1-41_R1_001.fastq	HM-D1-41_R2_001.fastq	2
D1-42	HM-D1-42_R1_001.fastq	HM-D1-42_R2_001.fastq	2
D1-44	HM-D1-44_R1_001.fastq	HM-D1-44_R2_001.fastq	2
D1-45	HM-D1-45_R1_001.fastq	HM-D1-45_R2_001.fastq	2
D1-46	HM-D1-46_R1_001.fastq	HM-D1-46_R2_001.fastq	2
D1-5	HM-D1-5_R1_001.fastq	HM-D1-5_R2_001.fastq	2
D1-6	HM-D1-6_R1_001.fastq	HM-D1-6_R2_001.fastq	2
D1-7	HM-D1-7_R1_001.fastq	HM-D1-7_R2_001.fastq	2
D1-8	HM-D1-8_R1_001.fastq	HM-D1-8_R2_001.fastq	2
D1-9	HM-D1-9_R1_001.fastq	HM-D1-9_R2_001.fastq	2
D1-A	HM-D1-A_R1_001.fastq	HM-D1-A_R2_001.fastq	2
