Sample Name	Mate 1 FASTQ	Mate 2 FASTQ	Ploidy
H0-1	HM-H0-1_R1_001.fastq	HM-H0-1_R2_001.fastq	1
H0-10	HM-H0-10_R1_001.fastq	HM-H0-10_R2_001.fastq	1
H0-11	HM-H0-11_R1_001.fastq	HM-H0-11_R2_001.fastq	1
H0-12	HM-H0-12_R1_001.fastq	HM-H0-12_R2_001.fastq	1
H0-13	HM-H0-13_R1_001.fastq	HM-H0-13_R2_001.fastq	1
H0-14	HM-H0-14_R1_001.fastq	HM-H0-14_R2_001.fastq	1
H0-15	HM-H0-15_R1_001.fastq	HM-H0-15_R2_001.fastq	1
H0-16	HM-H0-16_R1_001.fastq	HM-H0-16_R2_001.fastq	1
H0-17	HM-H0-17_R1_001.fastq	HM-H0-17_R2_001.fastq	1
H0-18	HM-H0-18_R1_001.fastq	HM-H0-18_R2_001.fastq	1
H0-19	HM-H0-19_R1_001.fastq	HM-H0-19_R2_001.fastq	1
H0-2	HM-H0-2_R1_001.fastq	HM-H0-2_R2_001.fastq	1
H0-20	HM-H0-20_R1_001.fastq	HM-H0-20_R2_001.fastq	1
H0-21	HM-H0-21_R1_001.fastq	HM-H0-21_R2_001.fastq	1
H0-22	HM-H0-22_R1_001.fastq	HM-H0-22_R2_001.fastq	1
H0-23	HM-H0-23_R1_001.fastq	HM-H0-23_R2_001.fastq	1
H0-24	HM-H0-24_R1_001.fastq	HM-H0-24_R2_001.fastq	1
H0-26	HM-H0-26_R1_001.fastq	HM-H0-26_R2_001.fastq	1
H0-27	HM-H0-27_R1_001.fastq	HM-H0-27_R2_001.fastq	1
H0-28	HM-H0-28_R1_001.fastq	HM-H0-28_R2_001.fastq	1
H0-29	HM-H0-29_R1_001.fastq	HM-H0-29_R2_001.fastq	1
H0-30	HM-H0-30_R1_001.fastq	HM-H0-30_R2_001.fastq	1
H0-31	HM-H0-31_R1_001.fastq	HM-H0-31_R2_001.fastq	1
H0-32	HM-H0-32_R1_001.fastq	HM-H0-32_R2_001.fastq	1
H0-33	HM-H0-33_R1_001.fastq	HM-H0-33_R2_001.fastq	1
H0-34	HM-H0-34_R1_001.fastq	HM-H0-34_R2_001.fastq	1
H0-35	HM-H0-35_R1_001.fastq	HM-H0-35_R2_001.fastq	1
H0-36	HM-H0-36_R1_001.fastq	HM-H0-36_R2_001.fastq	1
H0-37	HM-H0-37_R1_001.fastq	HM-H0-37_R2_001.fastq	1
H0-38	HM-H0-38_R1_001.fastq	HM-H0-38_R2_001.fastq	1
H0-39	HM-H0-39_R1_001.fastq	HM-H0-39_R2_001.fastq	1
H0-4	HM-H0-4_R1_001.fastq	HM-H0-4_R2_001.fastq	1
H0-40	HM-H0-40_R1_001.fastq	HM-H0-40_R2_001.fastq	1
H0-41	HM-H0-41_R1_001.fastq	HM-H0-41_R2_001.fastq	1
H0-42	HM-H0-42_R1_001.fastq	HM-H0-42_R2_001.fastq	1
H0-43	HM-H0-43_R1_001.fastq	HM-H0-43_R2_001.fastq	1
H0-44	HM-H0-44_R1_001.fastq	HM-H0-44_R2_001.fastq	1
H0-45	HM-H0-45_R1_001.fastq	HM-H0-45_R2_001.fastq	1
H0-46	HM-H0-46_R1_001.fastq	HM-H0-46_R2_001.fastq	1
H0-47	HM-H0-47_R1_001.fastq	HM-H0-47_R2_001.fastq	1
H0-48	HM-H0-48_R1_001.fastq	HM-H0-48_R2_001.fastq	1
H0-5	HM-H0-5_R1_001.fastq	HM-H0-5_R2_001.fastq	1
H0-7	HM-H0-7_R1_001.fastq	HM-H0-7_R2_001.fastq	1
H0-8	HM-H0-8_R1_001.fastq	HM-H0-8_R2_001.fastq	1
H0-9	HM-H0-9_R1_001.fastq	HM-H0-9_R2_001.fastq	1
H0-A	HM-H0-A_R1_001.fastq	HM-H0-A_R2_001.fastq	1
