Sample Name	Mate 1 FASTQ	Mate 2 FASTQ	Ploidy
D0-1	HM-D0-1_R1_001.fastq	HM-D0-1_R2_001.fastq	2
D0-10	HM-D0-10_R1_001.fastq	HM-D0-10_R2_001.fastq	2
D0-11	HM-D0-11_R1_001.fastq	HM-D0-11_R2_001.fastq	2
D0-12	HM-D0-12_R1_001.fastq	HM-D0-12_R2_001.fastq	2
D0-13	HM-D0-13_R1_001.fastq	HM-D0-13_R2_001.fastq	2
D0-14	HM-D0-14_R1_001.fastq	HM-D0-14_R2_001.fastq	2
D0-15	HM-D0-15_R1_001.fastq	HM-D0-15_R2_001.fastq	2
D0-16	HM-D0-16_R1_001.fastq	HM-D0-16_R2_001.fastq	2
D0-17	HM-D0-17_R1_001.fastq	HM-D0-17_R2_001.fastq	2
D1-10	HM-D1-10_R1_001.fastq	HM-D1-10_R2_001.fastq	2
D1-11	HM-D1-11_R1_001.fastq	HM-D1-11_R2_001.fastq	2
D1-12	HM-D1-12_R1_001.fastq	HM-D1-12_R2_001.fastq	2
D1-13	HM-D1-13_R1_001.fastq	HM-D1-13_R2_001.fastq	2
D1-14	HM-D1-14_R1_001.fastq	HM-D1-14_R2_001.fastq	2
D1-15	HM-D1-15_R1_001.fastq	HM-D1-15_R2_001.fastq	2
D1-16	HM-D1-16_R1_001.fastq	HM-D1-16_R2_001.fastq	2
D1-17	HM-D1-17_R1_001.fastq	HM-D1-17_R2_001.fastq	2
D1-18	HM-D1-18_R1_001.fastq	HM-D1-18_R2_001.fastq	2
D1-19	HM-D1-19_R1_001.fastq	HM-D1-19_R2_001.fastq	2
D20-1	HM-D20-1_R1_001.fastq	HM-D20-1_R2_001.fastq	2
D20-10	HM-D20-10_R1_001.fastq	HM-D20-10_R2_001.fastq	2
D20-11	HM-D20-11_R1_001.fastq	HM-D20-11_R2_001.fastq	2
D20-12	HM-D20-12_R1_001.fastq	HM-D20-12_R2_001.fastq	2
D20-13	HM-D20-13_R1_001.fastq	HM-D20-13_R2_001.fastq	2
D20-14	HM-D20-14_R1_001.fastq	HM-D20-14_R2_001.fastq	2
D20-15	HM-D20-15_R1_001.fastq	HM-D20-15_R2_001.fastq	2
D20-16	HM-D20-16_R1_001.fastq	HM-D20-16_R2_001.fastq	2
D20-17	HM-D20-17_R1_001.fastq	HM-D20-17_R2_001.fastq	2
D20-18	HM-D20-18_R1_001.fastq	HM-D20-18_R2_001.fastq	2
H0-1	HM-H0-1_R1_001.fastq	HM-H0-1_R2_001.fastq	1
H0-10	HM-H0-10_R1_001.fastq	HM-H0-10_R2_001.fastq	1
H0-11	HM-H0-11_R1_001.fastq	HM-H0-11_R2_001.fastq	1
H0-12	HM-H0-12_R1_001.fastq	HM-H0-12_R2_001.fastq	1
H0-13	HM-H0-13_R1_001.fastq	HM-H0-13_R2_001.fastq	1
H0-14	HM-H0-14_R1_001.fastq	HM-H0-14_R2_001.fastq	1
H0-15	HM-H0-15_R1_001.fastq	HM-H0-15_R2_001.fastq	1
H0-16	HM-H0-16_R1_001.fastq	HM-H0-16_R2_001.fastq	1
H0-17	HM-H0-17_R1_001.fastq	HM-H0-17_R2_001.fastq	1
H0-18	HM-H0-18_R1_001.fastq	HM-H0-18_R2_001.fastq	1
