Sample Name	Merged BAM	Strand Bias Std	Repeat Indel Fits	Ploidy
H0-1	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-1.bam	0.210831244	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-1.repeat_indel_fits.txt	1
H0-10	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-10.bam	0.186134978	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-10.repeat_indel_fits.txt	1
H0-11	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-11.bam	0.207893039	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-11.repeat_indel_fits.txt	1
H0-12	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-12.bam	0.165712022	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-12.repeat_indel_fits.txt	1
H0-13	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-13.bam	0.377501987	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-13.repeat_indel_fits.txt	1
H0-14	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-14.bam	0.288037574	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-14.repeat_indel_fits.txt	1
H0-15	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-15.bam	0.25037864	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-15.repeat_indel_fits.txt	1
H0-16	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-16.bam	0.170556862	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-16.repeat_indel_fits.txt	1
H0-17	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-17.bam	0.19484661	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-17.repeat_indel_fits.txt	1
H0-18	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-18.bam	0.19595707	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-18.repeat_indel_fits.txt	1
H0-19	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-19.bam	0.21292615	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-19.repeat_indel_fits.txt	1
H0-2	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-2.bam	0.208589211	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-2.repeat_indel_fits.txt	1
H0-20	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-20.bam	0.200959182	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-20.repeat_indel_fits.txt	1
H0-21	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-21.bam	0.238207573	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-21.repeat_indel_fits.txt	1
H0-22	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-22.bam	0.217870976	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-22.repeat_indel_fits.txt	1
H0-23	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-23.bam	0.208522708	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-23.repeat_indel_fits.txt	1
H0-24	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-24.bam	0.192927737	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-24.repeat_indel_fits.txt	1
H0-26	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-26.bam	0.194498673	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-26.repeat_indel_fits.txt	1
H0-27	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-27.bam	0.209243078	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-27.repeat_indel_fits.txt	1
H0-28	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-28.bam	0.20836095	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-28.repeat_indel_fits.txt	1
H0-29	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-29.bam	0.19795195	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-29.repeat_indel_fits.txt	1
H0-30	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-30.bam	0.20942856	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-30.repeat_indel_fits.txt	1
H0-31	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-31.bam	0.228662602	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-31.repeat_indel_fits.txt	1
H0-32	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-32.bam	0.232912326	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-32.repeat_indel_fits.txt	1
H0-33	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-33.bam	0.302475029	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-33.repeat_indel_fits.txt	1
H0-34	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-34.bam	0.173517066	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-34.repeat_indel_fits.txt	1
H0-35	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-35.bam	0.239361764	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-35.repeat_indel_fits.txt	1
H0-36	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-36.bam	0.187022104	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-36.repeat_indel_fits.txt	1
H0-37	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-37.bam	0.295088142	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-37.repeat_indel_fits.txt	1
H0-38	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-38.bam	0.166927749	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-38.repeat_indel_fits.txt	1
H0-39	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-39.bam	0.211915544	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-39.repeat_indel_fits.txt	1
H0-4	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-4.bam	0.633666463	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-4.repeat_indel_fits.txt	1
H0-40	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-40.bam	0.210895773	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-40.repeat_indel_fits.txt	1
H0-41	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-41.bam	0.195529079	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-41.repeat_indel_fits.txt	1
H0-42	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-42.bam	0.202283955	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-42.repeat_indel_fits.txt	1
H0-43	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-43.bam	0.224235908	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-43.repeat_indel_fits.txt	1
H0-44	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-44.bam	0.217058988	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-44.repeat_indel_fits.txt	1
H0-45	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-45.bam	0.190446952	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-45.repeat_indel_fits.txt	1
H0-46	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-46.bam	0.221541453	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-46.repeat_indel_fits.txt	1
H0-47	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-47.bam	0.18132129	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-47.repeat_indel_fits.txt	1
H0-48	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/bams/H0-48.bam	0.212784518	/scratch/hcm14449/TE_MA_Paradoxus/Illumina_Data/Muver/H0/fits/H0-48.repeat_indel_fits.txt	1
